RR,time
640,2023-04-13 13-43-31.373000
665,2023-04-13 13-43-32.038000
683,2023-04-13 13-43-32.721000
688,2023-04-13 13-43-33.409000
680,2023-04-13 13-43-34.089000
678,2023-04-13 13-43-34.767000
661,2023-04-13 13-43-35.428000
642,2023-04-13 13-43-36.070000
626,2023-04-13 13-43-36.696000
610,2023-04-13 13-43-37.306000
597,2023-04-13 13-43-37.903000
589,2023-04-13 13-43-38.492000
587,2023-04-13 13-43-39.079000
573,2023-04-13 13-43-39.652000
582,2023-04-13 13-43-40.234000
594,2023-04-13 13-43-40.828000
604,2023-04-13 13-43-41.432000
602,2023-04-13 13-43-42.034000
628,2023-04-13 13-43-42.662000
675,2023-04-13 13-43-43.337000
728,2023-04-13 13-43-44.065000
719,2023-04-13 13-43-44.784000
726,2023-04-13 13-43-45.510000
705,2023-04-13 13-43-46.215000
683,2023-04-13 13-43-46.898000
652,2023-04-13 13-43-47.550000
630,2023-04-13 13-43-48.180000
612,2023-04-13 13-43-48.792000
604,2023-04-13 13-43-49.396000
598,2023-04-13 13-43-49.994000
599,2023-04-13 13-43-50.593000
605,2023-04-13 13-43-51.198000
623,2023-04-13 13-43-51.821000
643,2023-04-13 13-43-52.464000
651,2023-04-13 13-43-53.115000
649,2023-04-13 13-43-53.764000
631,2023-04-13 13-43-54.395000
629,2023-04-13 13-43-55.024000
625,2023-04-13 13-43-55.649000
629,2023-04-13 13-43-56.278000
627,2023-04-13 13-43-56.905000
627,2023-04-13 13-43-57.532000
631,2023-04-13 13-43-58.163000
632,2023-04-13 13-43-58.795000
624,2023-04-13 13-43-59.419000
636,2023-04-13 13-44-00.055000
661,2023-04-13 13-44-00.716000
680,2023-04-13 13-44-01.396000
702,2023-04-13 13-44-02.098000
695,2023-04-13 13-44-02.793000
678,2023-04-13 13-44-03.471000
666,2023-04-13 13-44-04.137000
643,2023-04-13 13-44-04.780000
630,2023-04-13 13-44-05.410000
596,2023-04-13 13-44-06.006000
578,2023-04-13 13-44-06.584000
581,2023-04-13 13-44-07.165000
