RR,time
641,2023-04-11 13-31-14.256000
646,2023-04-11 13-31-14.902000
647,2023-04-11 13-31-15.549000
639,2023-04-11 13-31-16.188000
623,2023-04-11 13-31-16.811000
622,2023-04-11 13-31-17.433000
622,2023-04-11 13-31-18.055000
631,2023-04-11 13-31-18.686000
643,2023-04-11 13-31-19.329000
635,2023-04-11 13-31-19.964000
611,2023-04-11 13-31-20.575000
620,2023-04-11 13-31-21.195000
612,2023-04-11 13-31-21.807000
617,2023-04-11 13-31-22.424000
605,2023-04-11 13-31-23.029000
594,2023-04-11 13-31-23.623000
596,2023-04-11 13-31-24.219000
609,2023-04-11 13-31-24.828000
622,2023-04-11 13-31-25.450000
638,2023-04-11 13-31-26.088000
632,2023-04-11 13-31-26.720000
622,2023-04-11 13-31-27.342000
629,2023-04-11 13-31-27.971000
630,2023-04-11 13-31-28.601000
625,2023-04-11 13-31-29.226000
601,2023-04-11 13-31-29.827000
583,2023-04-11 13-31-30.410000
584,2023-04-11 13-31-30.994000
586,2023-04-11 13-31-31.580000
587,2023-04-11 13-31-32.167000
590,2023-04-11 13-31-32.757000
585,2023-04-11 13-31-33.342000
577,2023-04-11 13-31-33.919000
584,2023-04-11 13-31-34.503000
594,2023-04-11 13-31-35.097000
608,2023-04-11 13-31-35.705000
628,2023-04-11 13-31-36.333000
620,2023-04-11 13-31-36.953000
604,2023-04-11 13-31-37.557000
596,2023-04-11 13-31-38.153000
593,2023-04-11 13-31-38.746000
600,2023-04-11 13-31-39.346000
603,2023-04-11 13-31-39.949000
613,2023-04-11 13-31-40.562000
629,2023-04-11 13-31-41.191000
655,2023-04-11 13-31-41.846000
665,2023-04-11 13-31-42.511000
658,2023-04-11 13-31-43.169000
657,2023-04-11 13-31-43.826000
674,2023-04-11 13-31-44.500000
684,2023-04-11 13-31-45.184000
690,2023-04-11 13-31-45.874000
681,2023-04-11 13-31-46.555000
667,2023-04-11 13-31-47.222000
657,2023-04-11 13-31-47.879000
661,2023-04-11 13-31-48.540000
661,2023-04-11 13-31-49.201000
645,2023-04-11 13-31-49.846000
642,2023-04-11 13-31-50.488000
651,2023-04-11 13-31-51.139000
661,2023-04-11 13-31-51.800000
675,2023-04-11 13-31-52.475000
671,2023-04-11 13-31-53.146000
645,2023-04-11 13-31-53.791000
645,2023-04-11 13-31-54.436000
642,2023-04-11 13-31-55.078000
630,2023-04-11 13-31-55.708000
608,2023-04-11 13-31-56.316000
593,2023-04-11 13-31-56.909000
578,2023-04-11 13-31-57.487000
570,2023-04-11 13-31-58.057000
560,2023-04-11 13-31-58.617000
553,2023-04-11 13-31-59.170000
562,2023-04-11 13-31-59.732000
570,2023-04-11 13-32-00.302000
567,2023-04-11 13-32-00.869000
580,2023-04-11 13-32-01.449000
604,2023-04-11 13-32-02.053000
619,2023-04-11 13-32-02.672000
632,2023-04-11 13-32-03.304000
618,2023-04-11 13-32-03.922000
612,2023-04-11 13-32-04.534000
611,2023-04-11 13-32-05.145000
614,2023-04-11 13-32-05.759000
618,2023-04-11 13-32-06.377000
610,2023-04-11 13-32-06.987000
622,2023-04-11 13-32-07.609000
635,2023-04-11 13-32-08.244000
648,2023-04-11 13-32-08.892000
666,2023-04-11 13-32-09.558000
646,2023-04-11 13-32-10.204000
621,2023-04-11 13-32-10.825000
618,2023-04-11 13-32-11.443000
617,2023-04-11 13-32-12.060000
636,2023-04-11 13-32-12.696000
818,2023-04-11 13-32-13.514000
808,2023-04-11 13-32-14.322000
786,2023-04-11 13-32-15.108000
743,2023-04-11 13-32-15.851000
717,2023-04-11 13-32-16.568000
696,2023-04-11 13-32-17.264000
682,2023-04-11 13-32-17.946000
664,2023-04-11 13-32-18.610000
653,2023-04-11 13-32-19.263000
651,2023-04-11 13-32-19.914000
661,2023-04-11 13-32-20.575000
665,2023-04-11 13-32-21.240000
663,2023-04-11 13-32-21.903000
665,2023-04-11 13-32-22.568000
662,2023-04-11 13-32-23.230000
658,2023-04-11 13-32-23.888000
652,2023-04-11 13-32-24.540000
636,2023-04-11 13-32-25.176000
626,2023-04-11 13-32-25.802000
628,2023-04-11 13-32-26.430000
638,2023-04-11 13-32-27.068000
620,2023-04-11 13-32-27.688000
610,2023-04-11 13-32-28.298000
604,2023-04-11 13-32-28.902000
609,2023-04-11 13-32-29.511000
615,2023-04-11 13-32-30.126000
616,2023-04-11 13-32-30.742000
609,2023-04-11 13-32-31.351000
624,2023-04-11 13-32-31.975000
626,2023-04-11 13-32-32.601000
644,2023-04-11 13-32-33.245000
621,2023-04-11 13-32-33.866000
629,2023-04-11 13-32-34.495000
639,2023-04-11 13-32-35.134000
655,2023-04-11 13-32-35.789000
655,2023-04-11 13-32-36.444000
629,2023-04-11 13-32-37.073000
628,2023-04-11 13-32-37.701000
630,2023-04-11 13-32-38.331000
642,2023-04-11 13-32-38.973000
638,2023-04-11 13-32-39.611000
624,2023-04-11 13-32-40.235000
613,2023-04-11 13-32-40.848000
621,2023-04-11 13-32-41.469000
609,2023-04-11 13-32-42.078000
604,2023-04-11 13-32-42.682000
598,2023-04-11 13-32-43.280000
608,2023-04-11 13-32-43.888000
621,2023-04-11 13-32-44.509000
635,2023-04-11 13-32-45.144000
629,2023-04-11 13-32-45.773000
641,2023-04-11 13-32-46.414000
650,2023-04-11 13-32-47.064000
661,2023-04-11 13-32-47.725000
646,2023-04-11 13-32-48.371000
641,2023-04-11 13-32-49.012000
647,2023-04-11 13-32-49.659000
638,2023-04-11 13-32-50.297000
628,2023-04-11 13-32-50.925000
608,2023-04-11 13-32-51.533000
608,2023-04-11 13-32-52.141000
601,2023-04-11 13-32-52.742000
616,2023-04-11 13-32-53.358000
629,2023-04-11 13-32-53.987000
622,2023-04-11 13-32-54.609000
622,2023-04-11 13-32-55.231000
625,2023-04-11 13-32-55.856000
642,2023-04-11 13-32-56.498000
633,2023-04-11 13-32-57.131000
617,2023-04-11 13-32-57.748000
623,2023-04-11 13-32-58.371000
627,2023-04-11 13-32-58.998000
631,2023-04-11 13-32-59.629000
617,2023-04-11 13-33-00.246000
608,2023-04-11 13-33-00.854000
609,2023-04-11 13-33-01.463000
609,2023-04-11 13-33-02.072000
631,2023-04-11 13-33-02.703000
626,2023-04-11 13-33-03.329000
623,2023-04-11 13-33-03.952000
641,2023-04-11 13-33-04.593000
646,2023-04-11 13-33-05.239000
647,2023-04-11 13-33-05.886000
615,2023-04-11 13-33-06.501000
600,2023-04-11 13-33-07.101000
604,2023-04-11 13-33-07.705000
608,2023-04-11 13-33-08.313000
609,2023-04-11 13-33-08.922000
600,2023-04-11 13-33-09.522000
610,2023-04-11 13-33-10.132000
622,2023-04-11 13-33-10.754000
647,2023-04-11 13-33-11.401000
651,2023-04-11 13-33-12.052000
635,2023-04-11 13-33-12.687000
640,2023-04-11 13-33-13.327000
632,2023-04-11 13-33-13.959000
630,2023-04-11 13-33-14.589000
611,2023-04-11 13-33-15.200000
606,2023-04-11 13-33-15.806000
603,2023-04-11 13-33-16.409000
599,2023-04-11 13-33-17.008000
602,2023-04-11 13-33-17.610000
604,2023-04-11 13-33-18.214000
618,2023-04-11 13-33-18.832000
652,2023-04-11 13-33-19.484000
676,2023-04-11 13-33-20.160000
665,2023-04-11 13-33-20.825000
648,2023-04-11 13-33-21.473000
667,2023-04-11 13-33-22.140000
674,2023-04-11 13-33-22.814000
676,2023-04-11 13-33-23.490000
643,2023-04-11 13-33-24.133000
618,2023-04-11 13-33-24.751000
626,2023-04-11 13-33-25.377000
625,2023-04-11 13-33-26.002000
635,2023-04-11 13-33-26.637000
635,2023-04-11 13-33-27.272000
612,2023-04-11 13-33-27.884000
603,2023-04-11 13-33-28.487000
611,2023-04-11 13-33-29.098000
621,2023-04-11 13-33-29.719000
639,2023-04-11 13-33-30.358000
639,2023-04-11 13-33-30.997000
672,2023-04-11 13-33-31.669000
691,2023-04-11 13-33-32.360000
695,2023-04-11 13-33-33.055000
674,2023-04-11 13-33-33.729000
657,2023-04-11 13-33-34.386000
676,2023-04-11 13-33-35.062000
670,2023-04-11 13-33-35.732000
649,2023-04-11 13-33-36.381000
628,2023-04-11 13-33-37.009000
628,2023-04-11 13-33-37.637000
635,2023-04-11 13-33-38.272000
631,2023-04-11 13-33-38.903000
621,2023-04-11 13-33-39.524000
602,2023-04-11 13-33-40.126000
609,2023-04-11 13-33-40.735000
608,2023-04-11 13-33-41.343000
613,2023-04-11 13-33-41.956000
599,2023-04-11 13-33-42.555000
604,2023-04-11 13-33-43.159000
604,2023-04-11 13-33-43.763000
603,2023-04-11 13-33-44.366000
594,2023-04-11 13-33-44.960000
600,2023-04-11 13-33-45.560000
615,2023-04-11 13-33-46.175000
630,2023-04-11 13-33-46.805000
618,2023-04-11 13-33-47.423000
607,2023-04-11 13-33-48.030000
607,2023-04-11 13-33-48.637000
602,2023-04-11 13-33-49.239000
597,2023-04-11 13-33-49.836000
591,2023-04-11 13-33-50.427000
590,2023-04-11 13-33-51.017000
595,2023-04-11 13-33-51.612000
587,2023-04-11 13-33-52.199000
577,2023-04-11 13-33-52.776000
588,2023-04-11 13-33-53.364000
598,2023-04-11 13-33-53.962000
617,2023-04-11 13-33-54.579000
615,2023-04-11 13-33-55.194000
637,2023-04-11 13-33-55.831000
668,2023-04-11 13-33-56.499000
675,2023-04-11 13-33-57.174000
661,2023-04-11 13-33-57.835000
634,2023-04-11 13-33-58.469000
648,2023-04-11 13-33-59.117000
628,2023-04-11 13-33-59.745000
626,2023-04-11 13-34-00.371000
611,2023-04-11 13-34-00.982000
624,2023-04-11 13-34-01.606000
628,2023-04-11 13-34-02.234000
616,2023-04-11 13-34-02.850000
614,2023-04-11 13-34-03.464000
621,2023-04-11 13-34-04.085000
627,2023-04-11 13-34-04.712000
625,2023-04-11 13-34-05.337000
623,2023-04-11 13-34-05.960000
641,2023-04-11 13-34-06.601000
641,2023-04-11 13-34-07.242000
643,2023-04-11 13-34-07.885000
620,2023-04-11 13-34-08.505000
621,2023-04-11 13-34-09.126000
633,2023-04-11 13-34-09.759000
634,2023-04-11 13-34-10.393000
630,2023-04-11 13-34-11.023000
614,2023-04-11 13-34-11.637000
615,2023-04-11 13-34-12.252000
611,2023-04-11 13-34-12.863000
616,2023-04-11 13-34-13.479000
611,2023-04-11 13-34-14.090000
609,2023-04-11 13-34-14.699000
623,2023-04-11 13-34-15.322000
644,2023-04-11 13-34-15.966000
673,2023-04-11 13-34-16.639000
664,2023-04-11 13-34-17.303000
667,2023-04-11 13-34-17.970000
669,2023-04-11 13-34-18.639000
660,2023-04-11 13-34-19.299000
639,2023-04-11 13-34-19.938000
637,2023-04-11 13-34-20.575000
649,2023-04-11 13-34-21.224000
646,2023-04-11 13-34-21.870000
632,2023-04-11 13-34-22.502000
624,2023-04-11 13-34-23.126000
622,2023-04-11 13-34-23.748000
624,2023-04-11 13-34-24.372000
